date,name_legal_call,lei_call,id_call,name_legal,lei,id,no_sub
20171231.0,FIRST COMMUNITY BANK XENIA-FLORA,0,242.0,FIRST COMMUNITY BANCSHARES,0,3088643,1
20171231.0,"MINEOLA COMMUNITY BANK, SSB",0,279.0,MINEOLA COMMUNITY MUTUAL HOLDING COMPANY,0,3619720,1
20171231.0,LOWRY STATE BANK,0,457.0,"FINANCIAL SERVICES OF LOWRY, INC.",0,1127016,1
20171231.0,BALLSTON SPA NATIONAL BANK,0,505.0,"BALLSTON SPA BANCORP, INC.",549300GZP3XCTYS85G65,1048728,1
20171231.0,FIRST STATE BANK & TRUST COMPANY,0,1155.0,"FIRST STATE FREMONT, INC.",0,1247231,1
20171231.0,HILLTOP NATIONAL BANK,549300KJI3KX8KY2FG10,1454.0,MIDLAND FINANCIAL CORPORATION,0,1054840,1
20171231.0,"FIRST STATE BANK, KIOWA, KANSAS, THE",0,1557.0,"GRACE INVESTMENT COMPANY, INC.",0,2942850,3
20171231.0,ALVA STATE BANK & TRUST COMPANY,5493008SS1YH3EWLDY29,246956.0,"GRACE INVESTMENT COMPANY, INC.",0,2942850,3
20171231.0,FIRST NATIONAL BANK IN OKEENE,0,310950.0,"GRACE INVESTMENT COMPANY, INC.",0,2942850,3
20171231.0,"LIBERTY NATIONAL BANK IN PARIS, THE",0,1669.0,"PARIS BANCSHARES, INC.",0,2465283,1
20171231.0,FARMERS & MERCHANTS BANK,5493003PU4GOYGQN7E38,2040.0,"F. & M. BANCORP OF TOMAH, INC.",0,1245602,1
20171231.0,LAMAR NATIONAL BANK,0,2161.0,"LAMAR BANCORPORATION, INC.",0,1136906,1
20171231.0,ORITANI BANK,549300XRBLWUN6J76L65,2376.0,ORITANI FINANCIAL CORP,0,2692892,1
20171231.0,STATE BANK OF MARIETTA,0,2554.0,"DAKOTA FINANCIAL, INC.",0,3615272,1
20171231.0,"ALBANY BANK & TRUST CO., NATIONAL ASSOCIATION",0,2732.0,ALBANK CORPORATION,0,1208933,1
20171231.0,"FIRST NATIONAL BANK OF GORDON, THE",0,3252.0,ISHAM MANAGEMENT COMPANY,0,1050794,1
20171231.0,FARMERS BANK OF GREEN CITY,0,3458.0,GREEN CITY BANCSHARES INC.,0,1061165,1
20171231.0,MIDCOUNTRY BANK,0,3971.0,MIDCOUNTRY FINANCIAL CORP,0,3839902,1
20171231.0,KANZA BANK,0,4156.0,KANZA FINANCIAL CORPORATION,0,2325369,1
20171231.0,FARMERS AND MERCHANTS BANK,0,4231.0,"SCREVEN BANCSHARES, INC.",0,1863239,1
20171231.0,ABC BANK,0,4839.0,GREATER CHICAGO FINANCIAL CORP.,0,1143641,1
20171231.0,FIRST STATE BANK OF BLAKELY,0,5135.0,"FIRST STATE BANCSHARES OF BLAKELY, INC.",0,1139840,1
20171231.0,ACNB BANK,0,5210.0,ACNB CORPORATION,0,1117464,1
20171231.0,BAC COMMUNITY BANK,0,5461.0,BAC FINANCIAL INC.,0,3033746,1
20171231.0,KEARNY COUNTY BANK,0,5751.0,"LAKIN BANCSHARES, INC.",0,1061594,1
20171231.0,PINELAND BANK,0,6039.0,SOUTH BANKING COMPANY,0,1081622,1
20171231.0,TALLAHATCHIE COUNTY BANK,0,6141.0,TALLAHATCHIE HOLDING COMPANY,0,1099775,1
20171231.0,ANDERSON BROTHERS BANK,549300M4GZM7GG3EIV16,6329.0,"ANDERSON BANCSHARES, INC.",549300K0YPE5STTW8995,1138197,1
20171231.0,BESSEMER TRUST COMPANY,549300NEQHXUX4MZIH22,7009.0,"BESSEMER GROUP, INCORPORATED, THE",0,1246159,4
20171231.0,"BESSEMER TRUST COMPANY, N.A.",549300OTTCSOD5OCZ143,976703.0,"BESSEMER GROUP, INCORPORATED, THE",0,1246159,4
20171231.0,"BESSEMER TRUST COMPANY OF CALIFORNIA, NATIONAL ASSOCIATION",0,2845782.0,"BESSEMER GROUP, INCORPORATED, THE",0,1246159,4
20171231.0,"BESSEMER TRUST COMPANY OF DELAWARE, NATIONAL ASSOCIATION",0,3310287.0,"BESSEMER GROUP, INCORPORATED, THE",0,1246159,4
20171231.0,"PEOPLES BANK, THE",0,7045.0,TPB BANCORP,0,1130409,1
20171231.0,WALLKILL VALLEY FEDERAL SAVINGS AND LOAN ASSOCIATION,549300BDZCCADL2HG292,7072.0,WALLKILL VALLEY BANCORP MHC,0,5117592,1
20171231.0,BANK OF HARTINGTON,0,7456.0,CEDAR BANCORP,0,1063301,1
20171231.0,"FOUR COUNTY BANK, THE",0,7634.0,"FOUR COUNTY BANCSHARES, INC.",0,1416457,1
20171231.0,PEOPLES BANK AND TRUST COMPANY OF POINTE COUPEE PARISH,0,8033.0,"PEOPLES BANCSHARES OF POINTE COUPEE PARISH, INC.",0,1084883,1
20171231.0,"PERRYTON NATIONAL BANK, THE",0,8462.0,"PERRYTON BANCSHARES, INC.",0,2454773,1
20171231.0,"PLEASANTS COUNTY BANK, THE",0,8631.0,"PLEASANTS COUNTY BANKSHARES, INC.",0,2728447,1
